"","year","qtr","state","cnty","own","naics","naics3","naics4","naics5","naics_sector","super_sector","m1emp","m2emp","m3emp","wage","can_agg","rectype","filenumber","primary_key"
"1",2016,1,44,1,5,236115,236,2361,23611,23,1012,3,3,3,32,"Y","C","20",2912346
"2",2016,1,44,1,5,236115,236,2361,23611,23,1012,2,2,2,25,"Y","C","20",2912347
"3",2016,1,44,1,5,236115,236,2361,23611,23,1012,4,4,4,37,"Y","C","20",2912348
"4",2016,1,44,1,5,236115,236,2361,23611,23,1012,3,3,3,32,"Y","C","20",2912349
"5",2016,1,44,1,5,236115,236,2361,23611,23,1012,2,2,2,23,"Y","C","20",2912350
"6",2016,1,44,1,5,236115,236,2361,23611,23,1012,3,3,3,33,"Y","C","20",2912351
"7",2016,1,44,1,5,236115,236,2361,23611,23,1012,5,5,5,51,"Y","C","20",2912352
"8",2016,1,44,1,5,236115,236,2361,23611,23,1012,3,3,3,32,"Y","C","20",2912353
"9",2016,1,44,1,5,236115,236,2361,23611,23,1012,2,2,2,17,"Y","C","20",2912354
"10",2016,1,44,1,5,236115,236,2361,23611,23,1012,3,3,3,26,"Y","C","20",2912355
"11",2016,1,44,1,5,236115,236,2361,23611,23,1012,2,2,2,22,"Y","C","20",2912356
"12",2016,1,44,1,5,236115,236,2361,23611,23,1012,4,4,4,44,"Y","C","20",2912357
"13",2016,1,44,1,5,236115,236,2361,23611,23,1012,2,2,2,22,"Y","C","20",2912358
"14",2016,1,44,1,5,236115,236,2361,23611,23,1012,2,2,2,26,"Y","C","20",2912359
"15",2016,1,44,1,5,236115,236,2361,23611,23,1012,5,5,5,55,"Y","C","20",2912360
"16",2016,1,44,1,5,236115,236,2361,23611,23,1012,2,2,2,25,"Y","C","20",2912361
"17",2016,1,44,1,5,236117,236,2361,23611,23,1012,1,1,2,14,"Y","C","20",2912362
"18",2016,1,44,1,5,236117,236,2361,23611,23,1012,3,3,3,32,"Y","C","20",2912363
"19",2016,1,44,1,5,236117,236,2361,23611,23,1012,1,1,1,10,"Y","C","20",2912364
"20",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,23,"Y","C","20",2912365
"21",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,32,"Y","C","20",2912366
"22",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,26,"Y","C","20",2912367
"23",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,27,"Y","C","20",2912368
"24",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,25,"Y","C","20",2912369
"25",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,23,"Y","C","20",2912370
"26",2016,1,44,1,5,236118,236,2361,23611,23,1012,1,1,1,13,"Y","C","20",2912371
"27",2016,1,44,1,5,236118,236,2361,23611,23,1012,3,3,3,29,"Y","C","20",2912372
"28",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,18,"Y","C","20",2912373
"29",2016,1,44,1,5,236118,236,2361,23611,23,1012,4,4,4,39,"Y","C","20",2912374
"30",2016,1,44,1,5,236118,236,2361,23611,23,1012,4,4,4,40,"Y","C","20",2912375
"31",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,24,"Y","C","20",2912376
"32",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,4,3,25,"Y","C","20",2912377
"33",2016,1,44,1,5,236118,236,2361,23611,23,1012,2,2,2,20,"Y","C","20",2912378
