"","agglvl","agglvl_code","num_groups","min_n_estabs","med_n_estabs","max_n_estabs","avg_n_estabs","sd_n_estabs"
"1",NA,50,1,207768,207768,207768,207768,NA
"2","State Total",51,1,207768,207768,207768,207768,NA
"3","State by Domain",52,2,28476,103884,179292,103884,106643.01631143
"4","State by Supersector",53,10,250,22542,44429,20776.8,14141.2518682046
"5","State NAICS Sector",54,22,67,5069.5,29073,9444,9538.38007111021
"6","State NAICS 3-digit",55,74,1,641,29073,2807.67567567568,5252.80217743736
"7","State NAICS 4-digit",56,258,1,144,16950,805.302325581395,1716.114236194
"8","State NAICS 5-digit",57,571,1,79,16950,363.866900175131,1074.63476772704
"9","State NAICS 6-digit",58,853,1,33,8172,243.57327080891,692.128957452876
"10",NA,70,21,999,9385,28689,9893.71428571429,6968.05674591458
"11","County Total",71,21,999,9385,28689,9893.71428571429,6968.05674591458
"12","County by Domain",72,42,159,2174,25028,4946.85714285714,5649.25715630989
"13","County by Supersector",73,208,1,675.5,6170,998.884615384615,1068.57021098326
"14","County NAICS Sector",74,454,1,177,4146,457.638766519824,638.363914490678
"15","County NAICS 3-digit",75,1324,1,33,4146,156.924471299094,347.806696957264
"16","County NAICS 4-digit",76,3992,1,12,2110,52.0460921843687,120.668508235326
"17","County NAICS 5-digit",77,8026,1,7,2110,25.8868676800399,79.0009103428392
"18","County NAICS 6-digit",78,10067,1,5,1289,20.6385219032482,55.0093173304823
