"","agglvl","agglvl_code","num_groups","min_n_estabs","med_n_estabs","max_n_estabs","avg_n_estabs","sd_n_estabs"
"1",NA,50,1,25420,25420,25420,25420,NA
"2","State Total",51,1,25420,25420,25420,25420,NA
"3","State by Domain",52,2,4439,12710,20981,12710,11696.9603743879
"4","State by Supersector",53,10,47,2993.5,4903,2542,1569.73684985025
"5","State NAICS Sector",54,22,14,687,3272,1155.45454545455,1164.68731660242
"6","State NAICS 3-digit",55,68,4,109,2986,373.823529411765,634.067229854546
"7","State NAICS 4-digit",56,224,1,31.5,2409,113.482142857143,227.419289665542
"8","State NAICS 5-digit",57,484,1,16,2409,52.5206611570248,143.800793840969
"9","State NAICS 6-digit",58,663,1,10,1144,38.340874811463,94.3151252098109
"10",NA,70,5,1102,3354,14414,5084,5340.1003735885
"11","County Total",71,5,1102,3354,14414,5084,5340.1003735885
"12","County by Domain",72,10,247,1434,11919,2542,3481.0475115657
"13","County by Supersector",73,50,1,274,2764,508.4,634.428233666716
"14","County NAICS Sector",74,107,1,104,1957,237.570093457944,383.625803137654
"15","County NAICS 3-digit",75,303,1,17,1698,83.8943894389439,196.912363440446
"16","County NAICS 4-digit",76,854,1,8,1323,29.7658079625293,73.4647570568145
"17","County NAICS 5-digit",77,1620,1,4,1323,15.6913580246914,48.5174884194112
"18","County NAICS 6-digit",78,1996,1,4,610,12.7354709418838,33.9062715800456
